scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,1400001,1450000,1424825,1040,393,11.0737,17.8086,-0.2332,-0.1219,-0.0742
Z,1450001,1500000,1474912,957,385,9.4104,17.0343,-0.2883,-0.2291,-0.1061
Z,1500001,1550000,1523723,765,252,4.3063,3.2114,0.1456,0.0312,0.0246
Z,1550001,1600000,1575477,854,337,7.4167,8.7639,-0.0833,-0.0369,-0.0228
Z,1600001,1650000,1624904,825,334,9.8699,1.8791,0.6801,0.196,0.1716
Z,1650001,1700000,1674908,850,330,3.785,26.8655,-0.753,-0.9772,-0.2971
Z,1700001,1750000,1725191,798,336,3.4475,21.8596,-0.7275,-0.573,-0.2954
Z,1750001,1800000,1775999,1000,333,5.4505,9.6403,-0.2776,-0.1509,-0.0801
Z,1800001,1850000,1824388,873,295,5.2436,14.7204,-0.4747,-0.2395,-0.1431
Z,1850001,1900000,1876144,1004,358,3.5019,3.1663,0.0503,0.0153,0.011
Z,1900001,1950000,1923310,921,320,5.1157,19.0092,-0.5759,-1.0809,-0.3122
Z,1950001,2000000,1973974,860,248,6.9802,14.133,-0.3388,-0.4265,-0.185
Z,2000001,2050000,2024920,849,280,6.2784,7.7206,-0.103,-0.0383,-0.0249
Z,2050001,2100000,2074253,911,352,7.5073,8.8194,-0.0804,-0.0346,-0.0204
Z,2100001,2150000,2125188,847,346,7.9614,15.9991,-0.3355,-0.2755,-0.1071
Z,2150001,2200000,2174343,1157,425,7.0188,31.7641,-0.638,-0.5186,-0.1947
Z,2200001,2250000,2225333,1091,410,3.9614,22.792,-0.7039,-0.4474,-0.212
Z,2250001,2300000,2275445,1093,411,10.0529,4.8746,0.3469,0.066,0.042
Z,2300001,2350000,2322495,784,240,5.8465,0.2377,0.9219,0.1035,0.0775
Z,2350001,2400000,2375447,867,318,1.9078,5.2557,-0.4674,-0.0802,-0.0534
Z,2400001,2450000,2423745,724,277,8.4486,24.2681,-0.4835,-0.3008,-0.1997
Z,2450001,2500000,2475465,820,243,7.6047,12.7731,-0.2536,-0.1841,-0.0787
Z,2500001,2550000,2525755,684,222,2.5336,7.1831,-0.4785,-0.1434,-0.1112
Z,2550001,2600000,2574794,716,264,12.8192,7.3495,0.2712,0.1368,0.0989
Z,2600001,2650000,2622221,635,217,3.6553,3.9331,-0.0366,-0.0156,-0.0081
Z,2650001,2700000,2674881,543,188,3.251,4.1584,-0.1225,-0.0303,-0.0225
Z,2700001,2750000,2724849,617,231,4.2353,13.5844,-0.5246,-0.3304,-0.1535
Z,2750001,2800000,2775175,651,210,3.1413,2.9392,0.0332,0.0062,0.0044
Z,2800001,2850000,2825589,621,158,0.5556,0.0,1.0,0.0165,0.0156
Z,2850001,2900000,2876586,738,213,2.3213,1.5128,0.2109,0.0245,0.016
Z,2900001,2950000,2925927,962,311,5.642,2.892,0.3222,0.0651,0.0327
Z,2950001,3000000,2973787,779,202,4.2685,10.2083,-0.4103,-0.1838,-0.0925
Z,3000001,3050000,3024901,735,273,0.3102,2.8519,-0.8038,-0.0616,-0.0314
Z,3050001,3100000,3076586,752,258,0.8951,4.1705,-0.6466,-0.1065,-0.0568
Z,3100001,3150000,3124321,581,237,6.5092,14.8669,-0.391,-0.1782,-0.0977
Z,3150001,3200000,3171890,569,192,11.0358,7.2919,0.2043,0.1005,0.0703
Z,3200001,3250000,3225054,566,137,2.7458,26.347,-0.8112,-1.2732,-0.5427
Z,3250001,3300000,3273629,607,195,1.9328,24.6471,-0.8546,-0.9238,-0.4419
Z,3300001,3350000,3327637,648,291,3.4936,41.0629,-0.8432,-0.873,-0.4453
Z,3350001,3400000,3372437,584,287,1.7769,35.3166,-0.9042,-1.0203,-0.4771
Z,3400001,3450000,3424772,577,189,3.4442,12.7199,-0.5738,-0.5357,-0.3014
Z,3450001,3500000,3474828,656,294,4.3217,12.7184,-0.4928,-0.4445,-0.1162
Z,3500001,3550000,3525140,726,303,0.9198,2.3642,-0.4398,-0.1378,-0.035
Z,3550001,3600000,3574743,602,265,12.5657,0.2963,0.9539,0.2936,0.1654
Z,3600001,3650000,3624683,594,249,3.8912,10.2477,-0.4496,-0.1966,-0.0931
Z,3650001,3700000,3675962,543,237,1.0035,10.0658,-0.8187,-0.267,-0.1841
Z,3700001,3750000,3725262,661,260,1.6489,4.0513,-0.4215,-0.0464,-0.033
Z,3750001,3800000,3772933,791,263,8.0608,29.0687,-0.5658,-0.3968,-0.2547
Z,3800001,3850000,3826716,802,346,7.9474,58.6192,-0.7612,-0.714,-0.3521
Z,3850001,3900000,3874214,665,243,7.2792,12.5102,-0.2643,-0.0956,-0.0641
Z,3900001,3950000,3923410,621,181,0.0,20.1111,-1.0,-1.478,-0.5929
Z,3950001,4000000,3977324,607,236,2.8465,29.6872,-0.825,-1.2742,-0.5275
Z,4000001,4050000,4022605,793,289,1.3786,24.8872,-0.895,-0.7262,-0.3954
Z,4050001,4100000,4072379,604,267,4.4967,6.0311,-0.1457,-0.0399,-0.0245
Z,4100001,4150000,4123829,536,223,2.0876,10.9035,-0.6786,-0.1708,-0.1125
Z,4150001,4200000,4174439,475,156,0.7531,6.4232,-0.7901,-0.3447,-0.1336
Z,4200001,4250000,4225153,519,190,4.0759,14.2825,-0.556,-0.2294,-0.1702
Z,4250001,4300000,4273021,580,235,31.1846,6.9333,0.6362,0.3905,0.3208
Z,4300001,4350000,4323943,452,153,0.9313,5.9452,-0.7291,-0.188,-0.1358
Z,4350001,4400000,4376270,474,109,4.6094,8.1233,-0.276,-0.2998,-0.1806
Z,4400001,4450000,4422323,482,137,1.6204,1.9974,-0.1042,-0.0138,-0.0092
