scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,1900001,1950000,1923310,921,314,20.2708,6.5974,0.5089,0.2774,0.2219
Z,1950001,2000000,1973974,860,252,12.4903,13.7907,-0.0495,-0.0313,-0.0204
Z,2000001,2050000,2024920,849,276,15.9642,8.9303,0.2825,0.1889,0.1161
Z,2050001,2100000,2074253,911,351,10.2297,8.9616,0.0661,0.0239,0.0175
Z,2100001,2150000,2125188,847,343,17.6857,11.2897,0.2207,0.1014,0.0787
Z,2150001,2200000,2174343,1157,435,35.9776,12.0815,0.4972,0.2944,0.2179
Z,2200001,2250000,2225333,1091,411,20.1862,7.0853,0.4804,0.2469,0.1507
Z,2250001,2300000,2275445,1093,412,5.2888,13.1323,-0.4258,-0.0885,-0.0655
Z,2300001,2350000,2322495,784,239,0.5628,3.3869,-0.715,-0.0892,-0.0565
Z,2350001,2400000,2375447,867,321,2.8718,5.4023,-0.3058,-0.0892,-0.0429
Z,2400001,2450000,2423745,724,278,24.4005,2.0849,0.8426,0.3729,0.282
Z,2450001,2500000,2475465,820,243,22.9,5.0466,0.6388,0.5411,0.3988
Z,2500001,2550000,2525755,684,230,4.7275,3.3853,0.1654,0.0567,0.04
Z,2550001,2600000,2574794,716,259,5.2383,10.6719,-0.3415,-0.2365,-0.1165
Z,2600001,2650000,2622221,635,226,3.1039,6.519,-0.3549,-0.1502,-0.1035
Z,2650001,2700000,2674881,543,180,4.5717,2.6727,0.2621,0.0624,0.0447
Z,2700001,2750000,2724849,617,228,13.4275,4.5903,0.4905,0.1595,0.1307
Z,2750001,2800000,2775175,651,209,4.4231,8.5786,-0.3196,-0.1598,-0.0988
Z,2800001,2850000,2825589,621,160,0.0,22.7994,-1.0,-1.6543,-0.4882
Z,2850001,2900000,2876586,738,217,2.7425,16.0247,-0.7077,-0.3459,-0.2143
Z,2900001,2950000,2925927,962,535,4.9713,5.1854,-0.0211,-0.0035,-0.0029
Z,2950001,3000000,2973787,779,421,9.1174,3.2999,0.4685,0.119,0.1035
Z,3000001,3050000,3024901,735,295,2.9724,5.6471,-0.3103,-0.045,-0.0365
Z,3050001,3100000,3076586,752,310,4.0933,11.7044,-0.4818,-0.2125,-0.1472
Z,3100001,3150000,3124321,581,251,14.5025,4.5225,0.5246,0.1882,0.1655
Z,3150001,3200000,3171890,569,190,6.1283,4.0675,0.2021,0.1112,0.0922
Z,3200001,3250000,3225054,566,150,21.9231,3.5487,0.7214,0.7383,0.5219
Z,3250001,3300000,3273629,607,204,19.134,3.2209,0.7118,0.5916,0.4062
Z,3300001,3350000,3327637,648,290,35.591,1.9781,0.8947,0.5636,0.5065
Z,3350001,3400000,3372437,584,288,34.8807,6.0292,0.7052,0.4812,0.3876
Z,3400001,3450000,3424772,577,189,12.8683,0.8008,0.8828,0.4382,0.3928
Z,3450001,3500000,3474828,656,297,12.1373,16.9314,-0.1649,-0.0751,-0.0574
Z,3500001,3550000,3525140,726,315,5.4701,13.3573,-0.4189,-0.2666,-0.1667
Z,3550001,3600000,3574743,602,289,0.8484,6.0626,-0.7545,-0.1123,-0.0902
Z,3600001,3650000,3624683,594,255,15.9265,1.6743,0.8097,0.2623,0.2463
Z,3650001,3700000,3675962,543,238,9.785,2.7016,0.5673,0.3416,0.1583
Z,3700001,3750000,3725262,661,260,3.937,7.1393,-0.2891,-0.0639,-0.0437
Z,3750001,3800000,3772933,791,266,28.283,7.4912,0.5812,0.4354,0.2872
Z,3800001,3850000,3826716,802,346,56.6898,9.6905,0.708,0.501,0.379
Z,3850001,3900000,3874214,665,261,11.9434,0.992,0.8466,0.2101,0.1641
Z,3900001,3950000,3923410,621,196,16.7222,0.1574,0.9813,0.7981,0.5066
Z,3950001,4000000,3977324,607,240,28.3058,3.8967,0.758,0.7133,0.4946
Z,4000001,4050000,4022605,793,294,16.17,1.7055,0.8092,0.6232,0.4477
Z,4050001,4100000,4072379,604,289,5.6152,4.9424,0.0637,0.0271,0.0198
Z,4100001,4150000,4123829,536,252,13.887,0.7731,0.8945,0.3687,0.2995
Z,4150001,4200000,4174439,475,172,5.6359,1.0862,0.6768,0.1548,0.1201
Z,4200001,4250000,4225153,519,216,11.8483,0.9741,0.8481,0.3615,0.2431
Z,4250001,4300000,4273021,580,253,6.5711,1.6707,0.5946,0.1555,0.1364
Z,4300001,4350000,4323943,452,156,5.67,1.8221,0.5136,0.176,0.1304
Z,4350001,4400000,4376270,474,113,8.0978,0.4441,0.896,0.4688,0.4027
Z,4400001,4450000,4422323,482,140,7.3988,0.9895,0.7641,0.3392,0.2866
Z,4450001,4500000,4477378,350,103,3.1295,0.8662,0.5665,0.2259,0.183
Z,4500001,4550000,4527018,430,198,14.5769,1.5049,0.8128,0.4131,0.386
Z,4550001,4600000,4576781,513,173,8.0534,0.7258,0.8346,0.3676,0.2675
Z,4600001,4650000,4624943,524,165,5.4686,0.0734,0.9735,0.459,0.3623
Z,4650001,4700000,4673376,544,157,7.4855,0.542,0.865,0.6674,0.5476
Z,4700001,4750000,4725266,419,91,3.0552,0.2737,0.8356,0.5857,0.4102
Z,4750001,4800000,4775153,402,118,0.3889,0.5355,-0.1586,-0.0392,-0.0208
Z,4800001,4850000,4825677,430,123,0.7384,0.4601,0.2323,0.0518,0.0365
Z,4850001,4900000,4874219,503,81,0.3843,0.1065,0.566,0.1826,0.1212
Z,4900001,4950000,4926060,398,118,29.8356,0.1512,0.9899,0.6603,0.6459
Z,4950001,5000000,4975125,388,126,22.3667,1.1461,0.9025,0.6425,0.5988
Z,5000001,5050000,5027455,420,114,18.9474,0.3153,0.9673,0.8345,0.7589
Z,5050001,5100000,5075484,402,71,11.9502,0.3611,0.9413,0.7653,0.7462
Z,5100001,5150000,5126434,384,60,4.9907,0.4658,0.8293,0.6198,0.5804
Z,5150001,5200000,5174475,412,89,6.5572,0.6609,0.8169,0.6319,0.5195
Z,5200001,5250000,5224295,448,148,12.6171,3.2212,0.5932,0.2868,0.2768
Z,5250001,5300000,5274767,448,166,13.4333,2.5579,0.6801,0.2504,0.2434
Z,5300001,5350000,5325387,515,210,7.6296,0.1343,0.9654,0.2648,0.2359
Z,5350001,5400000,5375265,391,158,8.945,0.2479,0.9461,0.2853,0.2622
Z,5400001,5450000,5424451,523,188,32.9769,1.3085,0.9237,0.5261,0.4968
Z,5450001,5500000,5474488,324,123,5.9491,0.1559,0.9489,0.7801,0.5057
Z,5500001,5550000,5525862,332,137,1.4306,0.0,1.0,0.499,0.172
Z,5550001,5600000,5576355,353,136,5.0833,0.0,1.0,0.3101,0.2463
